Account,date,daily_pnl,win_rate,avg_trade_size,avg_leverage,num_trades,long_short_ratio,sentiment,value,leverage_segment,frequency_segment,consistency_segment
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-03-09,0.0,0.0,1136.3127272727272,10.0,88,88.0,Greed,84.0,Low Leverage,Infrequent,Consistent
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-07-03,145563.448374,0.9518072289156626,1759.9534939759035,10.0,249,0.012145748987854251,Neutral,50.0,Low Leverage,Infrequent,Consistent
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-10-27,160450.518105,0.8837209302325582,6742.71976744186,10.0,43,0.0,Greed,74.0,Low Leverage,Infrequent,Consistent
0x430f09841d65beb3f27765503d0f850b8bce7713,2025-02-19,110527.905862,0.4828614008941878,2807.6623994038746,10.0,671,0.45770065075921906,Fear,44.0,Low Leverage,Infrequent,Consistent
0x430f09841d65beb3f27765503d0f850b8bce7713,2025-06-15,0.0,0.0,1365.6282795698924,10.0,186,0.0,,,Low Leverage,Infrequent,Consistent
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-10-27,69282.42904,0.3381837779574239,494.23683912691996,10.0,3711,0.8804457953394124,Greed,74.0,Low Leverage,Frequent,Consistent
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-19,32683.214094,0.36552171095268954,541.9522812702527,10.0,4629,0.961864406779661,Fear,44.0,Low Leverage,Frequent,Consistent
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-06-15,1378.073027,0.3575418994413408,368.8205586592179,10.0,179,0.6071428571428571,,,Low Leverage,Frequent,Consistent
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2024-10-27,61076.167808,0.4115853658536585,8444.161189024391,10.0,328,1.2534246575342465,Greed,74.0,Low Leverage,Frequent,Inconsistent
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-02-19,613327.827224,0.4952706253284288,8998.349072517078,10.0,3806,0.8940298507462686,Fear,44.0,Low Leverage,Frequent,Inconsistent
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-06-15,3343.0556109999998,0.44144144144144143,11511.476621621621,10.0,222,1.5340909090909092,,,Low Leverage,Frequent,Inconsistent
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-09,-7919.471032000002,0.30684931506849317,6219.798493150685,10.0,730,0.9545454545454546,Greed,84.0,Low Leverage,Frequent,Inconsistent
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-03,-25991.506339,0.3315508021390374,10190.317929717341,10.0,1309,1.1688741721854305,Neutral,50.0,Low Leverage,Frequent,Inconsistent
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-27,111230.498007,0.3282442748091603,19645.16682912507,10.0,1703,1.2903225806451613,Greed,74.0,Low Leverage,Frequent,Inconsistent
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2025-02-19,223968.37089299998,0.39175809472839174,20468.303636606903,10.0,3737,1.2918454935622317,Fear,44.0,Low Leverage,Frequent,Inconsistent
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2025-06-15,7687.978187,0.49523809523809526,17592.19438095238,10.0,105,0.65625,,,Low Leverage,Frequent,Inconsistent
0x513b8629fe877bb581bf244e326a047b249c4ff1,2024-10-27,0.0,0.0,3261.5788789237668,10.0,223,223.0,Greed,74.0,Low Leverage,Frequent,Consistent
